id,name,merchant_name,category_id,category_text,is_income
7fd0943c-45e5-4e50-ab1b-ceed73227f69,Gas,76,57,TRANSPORTATION_GAS,f
c4066833-7664-4db8-9ad6-4ab4279f5b4b,Shopping,Amazon,74,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,f
d1d8b258-a808-40a0-b259-5254e4e6f446,T-Mobile,T-Mobile,64,RENT_AND_UTILITIES_TELEPHONE,f
4a19bb3b-3f09-4d20-8daa-e6345283f1d3,WiFi Bill,Comcast,43,RENT_AND_UTILITIES_INTERNET_AND_CABLE,f
7bc56187-301e-4abd-bd1f-3e77ac2267ce,Electricity Bill,PG&E,67,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY,f
d9b874f6-fd08-4278-be08-d5d550ad4bdb,Movies & Leisure,Netflix,36,ENTERTAINMENT_TV_AND_MOVIES,f
7f4649e5-3473-456b-ba05-ca1e421d8e8c,Gas,Chevron,57,TRANSPORTATION_GAS,f
e605f0e3-11c6-46f8-86de-3f37d2c09a01,House Maintenance,Local Services,53,HOME_IMPROVEMENT_REPAIR_AND_MAINTENANCE,f
0789f2a2-393c-4da6-970f-044f3265477f,Groceries,Safeway,52,FOOD_AND_DRINK_GROCERIES,f
db7ffd91-612f-45f6-8282-dde5276717fa,Food,Chick-fil-A,23,FOOD_AND_DRINK_OTHER_FOOD_AND_DRINK,f
98ffafae-215c-4de5-9ce9-0a7010cf23e2,Movies & Leisure,Netflix,36,ENTERTAINMENT_TV_AND_MOVIES,f
8551a13b-62dd-4de4-844c-ce6c47a17d4f,Groceries,Safeway,52,FOOD_AND_DRINK_GROCERIES,f
51b20ca5-5ec0-425e-a494-1957e6540410,Misc,N/A,98,OTHERS,f
7f3ebdf4-a08f-48ee-9a97-99fb5e96bdd7,Groceries,Whole Foods,52,FOOD_AND_DRINK_GROCERIES,f
c1ac3827-6f76-4785-a84d-08a7eb495671,Gas,Arco,57,TRANSPORTATION_GAS,f
190672d7-d836-4b9a-a0b6-25620d2b5de1,Food,Chick-fil-A,23,FOOD_AND_DRINK_OTHER_FOOD_AND_DRINK,f
7b4956f5-90b1-46a0-8753-f3b06caf4c32,Food,Chick-fil-A,23,FOOD_AND_DRINK_OTHER_FOOD_AND_DRINK,f
8b4d5fd5-54cf-4f52-9002-45b928ba522a,Food,Chick-fil-A,23,FOOD_AND_DRINK_OTHER_FOOD_AND_DRINK,f
4b429236-7a4b-43a5-882b-0bd4e675df18,Groceries,Trader Joe's,52,FOOD_AND_DRINK_GROCERIES,f
a43b3c3e-da89-4cd0-b33c-1de90ae48bee,Groceries,Vons,52,FOOD_AND_DRINK_GROCERIES,f
019a4afa-15ef-4f3d-a6ea-1a0704b797b2,Groceries,Vons,52,FOOD_AND_DRINK_GROCERIES,f
6ed9336e-b285-415d-9b85-f871cbc2fdac,Shopping,Amazon,74,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,f
30f0a9fa-827d-411f-a764-ba6f20de8b6c,Gas,Shell,57,TRANSPORTATION_GAS,f
c4ebe83c-2221-4ca5-8fcf-d362721bfee3,Gas,Arco,57,TRANSPORTATION_GAS,f
ea13a6fc-6959-49f1-8ebb-ad1c2b166bc6,Misc,N/A,99,UNKNOWN,f
1dbbdc59-9323-46e4-9d7e-6f82eb7c5f4b,T-Mobile,T-Mobile,64,RENT_AND_UTILITIES_TELEPHONE,f
7030d8bc-041f-40fc-8ffb-7ae0171095c2,WiFi Bill,Comcast,43,RENT_AND_UTILITIES_INTERNET_AND_CABLE,f
4595fa6c-8bbc-49f2-957e-5b592bad0ad3,Gas,Shell,57,TRANSPORTATION_GAS,f
ff7e5293-ee37-4163-97d3-5317b11416bc,Electricity Bill,PG&E,67,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY,f
0301dac1-c6b2-41a1-a3e5-1d4731125361,Food,Starbucks,23,FOOD_AND_DRINK_OTHER_FOOD_AND_DRINK,f
79eb363d-0f48-4151-b478-fb3ac936e7c2,House Maintenance,Local Services,53,HOME_IMPROVEMENT_REPAIR_AND_MAINTENANCE,f
cbb6fce3-c212-4cdb-9be9-16c27a4eebc1,Groceries,Whole Foods,52,FOOD_AND_DRINK_GROCERIES,f
02c6c16e-eded-427c-851e-8b5fd6eb3c0e,Shopping,Amazon,74,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,f
5942428e-efea-4ed2-96d7-73fc72e8d979,Zelle Transfer Out,Zelle Incoming,51,TRANSFER_IN_DEPOSIT,f
0050835f-e29b-42d5-8949-a9430cb72528,Misc,N/A,99,UNKNOWN,f
